off1,off2,off3,off4,off5,def1,def2,def3,def4,def5,Points
1628890,203828,201516,203563,1628931,200676,1628906,204365,1627681,1627676,0
200676,1628906,204365,1627681,1627676,1628890,203828,201516,203563,1628931,2
1628890,203828,201516,203563,1628931,200676,1628906,204365,1627681,1627676,2
200676,1628906,204365,1627681,1627676,1628890,203828,201516,203563,1628931,0
1628890,203828,201516,203563,1628931,200676,1628906,204365,1627681,1627676,2
200676,1628906,204365,1627681,1627676,1628890,203828,201516,203563,1628931,2
1628890,203828,201516,203563,1628931,200676,1628906,204365,1627681,1627676,2
200676,1628906,204365,1627681,1627676,1628890,203828,201516,203563,1628931,0
1628890,203828,201516,203563,1628931,200676,1628906,204365,1627681,1627676,2
200676,203831,204365,1628868,1627676,1628890,203828,201516,203857,1628931,0
1628890,203828,201516,203857,1628931,200676,203831,204365,1628868,1627676,2
200676,203831,204365,1628868,1627676,1628890,203828,201516,203857,1628931,2
1628890,203828,201516,203857,1628931,200676,203831,204365,1628868,1627676,2
200676,203831,204365,1628868,1627676,1628890,203828,201516,203857,1628931,2
1628890,203828,201516,203857,1628931,200676,203831,204365,1628868,1627676,2
200676,203831,204365,1628868,1627676,1628890,203828,201516,203857,1628931,2
1628890,203828,201516,203857,1628931,200676,203831,204365,1628868,1627676,3
200676,203831,204365,1628868,1627676,1628890,203828,201516,203857,1628931,0
1628890,203828,201516,203857,1628931,200676,203831,204365,1628868,1627676,2
200676,203831,204365,1628868,1627676,1628890,203828,201516,203857,1628931,0
1628890,203828,201516,203857,1628931,200676,203831,204365,1628868,1627676,2
1628286,1628927,1628906,1628868,1628909,1628268,1627674,204323,203857,202652,0
1628268,1627674,204323,203857,202652,1628286,1628927,1628906,1628868,1628909,3
1628286,1628927,1628906,1628868,1628909,1628268,1627674,204323,203857,202652,2
1628932,202670,201477,1628263,1628269,203823,203826,1627675,202662,203015,0
203823,203826,1627675,202662,203015,1628932,202670,201477,1628263,1628269,2
1628932,202670,201477,1628263,1628269,203823,203826,1627675,202662,203015,3
203823,203826,1627675,202662,203015,1628932,202670,201477,1628263,1628269,0
1628932,202670,201477,1628263,1628269,203823,203826,1627675,202662,203015,2
203823,203826,1627675,202662,203015,1628932,202670,201477,1628263,1628269,0
1628932,202670,201477,1628263,1628269,203823,203826,1627675,202662,203015,0
203823,203826,1627675,202662,203015,1628932,202670,201477,1628263,1628269,0
1628932,202670,201477,1628263,1628269,203823,203826,1627675,202662,203015,2
203823,203826,1627675,202662,203015,1628932,202670,201477,1628263,1628269,0
1628932,202670,201477,1628263,1628269,203823,203826,1627675,202662,203015,2
203823,203826,1627675,202662,203015,1628932,202670,201477,1628263,1628269,2
1628932,202670,201477,1628263,1628269,203823,203826,1627675,202662,203015,2
203823,203826,1627675,202662,203015,1628932,202670,201477,1628263,1628269,0
1628932,202670,201477,1628263,1628269,203823,203826,1627675,202662,203015,0
203823,203826,1627675,202662,203015,1628932,202670,201477,1628263,1628269,0
1628932,202670,201477,1628263,1628269,203823,203826,1627675,202662,203015,3
203823,203826,1627675,202662,203015,1628932,202670,201477,1628263,1628269,2
1628932,202670,201477,1628263,1628269,203823,203826,1627675,202662,203015,0
203823,203826,1627675,202662,203015,1628932,202670,201477,1628263,1628269,2
